pub_date	title	url	collection	image_path
2012-06-01	"Pinata (2012)"	http://music.volcanoisaband.com/album/pi-ata	"volcano!"	/assets/images/pinata.png
2008-09-01	"Paperwork (2008)"	http://music.volcanoisaband.com/album/paperwork	"volcano!"	/assets/images/paperwork.png
2005-10-25	"Beautiful Seizure (2005)"	http://music.volcanoisaband.com/album/beautiful-seizure	"volcano!"	/assets/images/beautiful_seizure.png
2005-01-01	"Six Corners (2005)"	https://vimeo.com/2381961	Cartwright Moorefield Weeter	/assets/images/six_corners.png
2004-01-01	"Chicago Union Station (2004)"	https://vimeo.com/2094397	Cartwright Moorefield Weeter	/assets/images/chicago_union_station.png
